Testname,Listener,Trial,Condition,Ratingscore
SiSEC08,Listener_18,nodrums_inst_sim_2,Algo34,5
SiSEC08,Listener_18,nodrums_inst_sim_2,anchor,0
SiSEC08,Listener_18,nodrums_inst_sim_3,orig,100
SiSEC08,Listener_18,nodrums_inst_sim_3,Algo8,100
SiSEC08,Listener_18,nodrums_inst_sim_3,Algo21,97
SiSEC08,Listener_18,nodrums_inst_sim_3,Algo22,100
SiSEC08,Listener_18,nodrums_inst_sim_3,Algo24,97
SiSEC08,Listener_18,nodrums_inst_sim_3,Algo25,54
SiSEC08,Listener_18,nodrums_inst_sim_3,Algo27,99
SiSEC08,Listener_18,nodrums_inst_sim_3,Algo30,99
SiSEC08,Listener_18,nodrums_inst_sim_3,Algo32,42
SiSEC08,Listener_18,nodrums_inst_sim_3,Algo34,0
SiSEC08,Listener_18,nodrums_inst_sim_3,anchor,0
SiSEC08,Listener_18,wdrums_inst_sim_1,orig,100
SiSEC08,Listener_18,wdrums_inst_sim_1,Algo8,41
SiSEC08,Listener_18,wdrums_inst_sim_1,Algo21,43
SiSEC08,Listener_18,wdrums_inst_sim_1,Algo22,45
SiSEC08,Listener_18,wdrums_inst_sim_1,Algo24,47
SiSEC08,Listener_18,wdrums_inst_sim_1,Algo25,35
SiSEC08,Listener_18,wdrums_inst_sim_1,Algo27,37
SiSEC08,Listener_18,wdrums_inst_sim_1,Algo30,50
SiSEC08,Listener_18,wdrums_inst_sim_1,Algo32,38
SiSEC08,Listener_18,wdrums_inst_sim_1,Algo34,33
SiSEC08,Listener_18,wdrums_inst_sim_1,anchor,0
SiSEC08,Listener_18,wdrums_inst_sim_2,orig,100
SiSEC08,Listener_18,wdrums_inst_sim_2,Algo8,38
SiSEC08,Listener_18,wdrums_inst_sim_2,Algo21,43
SiSEC08,Listener_18,wdrums_inst_sim_2,Algo22,46
SiSEC08,Listener_18,wdrums_inst_sim_2,Algo24,39
SiSEC08,Listener_18,wdrums_inst_sim_2,Algo25,19
SiSEC08,Listener_18,wdrums_inst_sim_2,Algo27,25
SiSEC08,Listener_18,wdrums_inst_sim_2,Algo30,45
SiSEC08,Listener_18,wdrums_inst_sim_2,Algo32,33
SiSEC08,Listener_18,wdrums_inst_sim_2,Algo34,29
SiSEC08,Listener_18,wdrums_inst_sim_2,anchor,0
SiSEC08,Listener_18,wdrums_inst_sim_3,orig,100
